json_game_id,proplay_game_id,flip_label,league
115548128962971960,LOLTMNT02_414553,0,LCK
115548128962971961,LOLTMNT02_414569,0,LCK
115548128962971962,LOLTMNT02_414581,0,LCK
115548128962971904,LOLTMNT02_414612,0,LCK
115548128962971905,LOLTMNT02_413783,0,LCK
115616219464541908,13283-13283_game_1,0,LPL
115616219464541909,13283-13283_game_2,1,LPL
115616219464541910,13283-13283_game_3,0,LPL
115616219464541911,13283-13283_game_4,1,LPL
115616219464541914,13284-13284_game_1,0,LPL
115616219464541915,13284-13284_game_2,0,LPL
115616219464541916,13284-13284_game_3,1,LPL
115548128963037504,LOLTMNT02_415144,0,LCK
115548128963037505,LOLTMNT02_414922,0,LCK
115616219464541884,13279-13279_game_1,0,LPL
115616219464541885,13279-13279_game_2,1,LPL
115616219464541886,13279-13279_game_3,0,LPL
115616219464541887,13279-13279_game_4,0,LPL
115616219464541888,13279-13279_game_5,0,LPL
115548128962971928,LOLTMNT02_409322,0,LCK
115548128962971929,LOLTMNT02_409387,1,LCK
115548128962971930,LOLTMNT02_409417,0,LCK
115616219464541890,13280-13280_game_1,0,LPL
115616219464541891,13280-13280_game_2,0,LPL
115616219464541892,13280-13280_game_3,1,LPL
115548128962971876,LOLTMNT02_409510,0,LCK
115548128962971877,LOLTMNT02_410580,1,LCK
115548128962971878,LOLTMNT02_410667,0,LCK
115548668059589359,LOLTMNT05_196094,0,LEC
115548668059589360,LOLTMNT05_195065,0,LEC
115548668059589361,LOLTMNT05_196109,0,LEC
115548668059589362,LOLTMNT05_195074,0,LEC
115564793879469289,LOLTMNT02_411013,0,LCS
115564793879469290,LOLTMNT02_411042,1,LCS
115564793879469291,LOLTMNT02_409890,1,LCS
115564793879469292,LOLTMNT02_409902,0,LCS
115564793879469293,LOLTMNT02_411078,0,LCS
115616219464541896,13281-13281_game_1,1,LPL
115616219464541897,13281-13281_game_2,1,LPL
115616219464541898,13281-13281_game_3,0,LPL
115616219464541899,13281-13281_game_4,1,LPL
115616219464541900,13281-13281_game_5,0,LPL
115548128962971948,LOLTMNT02_412046,0,LCK
115548128962971949,LOLTMNT02_412073,0,LCK
115616219464541902,13282-13282_game_1,1,LPL
115616219464541903,13282-13282_game_2,0,LPL
115616219464541904,13282-13282_game_3,1,LPL
115616219464541905,13282-13282_game_4,0,LPL
115616219464541906,13282-13282_game_5,0,LPL
115548128962971892,LOLTMNT02_411297,0,LCK
115548128962971893,LOLTMNT02_411342,0,LCK
115548668059589353,LOLTMNT05_196170,0,LEC
115548668059589354,LOLTMNT05_196183,0,LEC
115548668059589355,LOLTMNT05_196187,0,LEC
115565670260181852,LOLTMNT02_411470,0,CBLOL
115565670260181853,LOLTMNT02_411492,0,CBLOL
115565670260181854,LOLTMNT02_411525,0,CBLOL
115564793879469295,LOLTMNT02_412354,0,LCS
115564793879469296,LOLTMNT02_411603,0,LCS
115564793879469297,LOLTMNT02_411607,1,LCS
115564793879469298,LOLTMNT02_411614,1,LCS
115564793879469299,LOLTMNT02_411619,0,LCS
115548668059589365,LOLTMNT05_195244,0,LEC
115548668059589366,LOLTMNT05_195254,0,LEC
115548668059589367,LOLTMNT05_196267,0,LEC
115548668059589368,LOLTMNT05_196274,1,LEC
115548668059589369,LOLTMNT05_196283,1,LEC
115548128962971864,LOLTMNT02_413377,0,LCK
115548128962971865,LOLTMNT02_414180,0,LCK
115548128962971866,LOLTMNT02_413403,0,LCK
115564793879403689,LOLTMNT02_402931,0,LCS
115564793879403690,LOLTMNT02_401971,0,LCS
115564793879403721,LOLTMNT02_401990,0,LCS
115564793879403722,LOLTMNT02_403001,0,LCS
115548128962971872,LOLTMNT01_390036,0,LCK
115548128962971873,LOLTMNT01_390048,0,LCK
115548128962971874,LOLTMNT01_390055,0,LCK
115615926677896648,13277-13277_game_1,1,LPL
115615926677896649,13277-13277_game_2,1,LPL
115615926677896650,13277-13277_game_3,0,LPL
115615926677634452,13278-13278_game_1,0,LPL
115615926677831061,13278-13278_game_2,1,LPL
115565670260181834,LOLTMNT02_403221,0,CBLOL
115565670260181835,LOLTMNT02_403233,1,CBLOL
115565670260181836,LOLTMNT02_404258,1,CBLOL
115564793879338109,LOLTMNT02_403298,0,LCS
115564793879338110,LOLTMNT02_403310,1,LCS
115564793879469265,LOLTMNT02_403327,0,LCS
115564793879469266,LOLTMNT02_403334,1,LCS
115564793879469267,LOLTMNT02_404341,0,LCS
115548128963037552,LOLTMNT02_406455,0,LCK
115548128963037553,LOLTMNT02_406485,1,LCK
115548128963037554,LOLTMNT02_406517,1,LCK
115548128962906316,LOLTMNT02_406958,0,LCK
115548128962906317,LOLTMNT02_407057,1,LCK
115548128963037508,LOLTMNT02_408013,0,LCK
115548128963037509,LOLTMNT02_407136,1,LCK
115548128963037510,LOLTMNT02_407167,1,LCK
115548128963037528,LOLTMNT02_407714,0,LCK
115548128963037529,LOLTMNT02_407744,0,LCK
115615926677896624,13268-13268_game_1,0,LPL
115615926677896625,13268-13268_game_2,1,LPL
115615926677896626,13268-13268_game_3,0,LPL
115548128962971908,LOLTMNT01_384714,0,LCK
115548128962971909,LOLTMNT01_383765,1,LCK
115615924499588636,13269-13269_game_1,0,LPL
115615926685761087,13269-13269_game_2,0,LPL
115615926685761088,13269-13269_game_3,1,LPL
115548128962971952,LOLTMNT01_384771,0,LCK
115548128962971953,LOLTMNT01_383870,0,LCK
115615926677831076,13270-13270_game_1,0,LPL
115615926677831077,13270-13270_game_2,0,LPL
115615926677831078,13270-13270_game_3,0,LPL
115548128962971924,LOLTMNT01_387134,0,LCK
115548128962971925,LOLTMNT01_388121,0,LCK
115615924499588642,13271-13271_game_1,0,LPL
115615926685761093,13271-13271_game_2,0,LPL
115615926677896680,13272-13272_game_1,0,LPL
115615926677896681,13272-13272_game_2,1,LPL
115548128962971868,LOLTMNT01_388455,0,LCK
115548128962971869,LOLTMNT01_387607,0,LCK
115615924499588658,13273-13273_game_1,0,LPL
115615926685761109,13273-13273_game_2,0,LPL
115548128962971944,LOLTMNT01_388537,0,LCK
115548128962971945,LOLTMNT01_387661,1,LCK
115615926677896640,13274-13274_game_1,0,LPL
115615926677896641,13274-13274_game_2,1,LPL
115548128962971896,LOLTMNT01_387874,0,LCK
115548128962971897,LOLTMNT01_387878,1,LCK
115548128962971898,LOLTMNT01_387885,1,LCK
115615924499588638,13275-13275_game_1,0,LPL
115615926685761089,13275-13275_game_2,0,LPL
115615926685761090,13275-13275_game_3,1,LPL
115548128962971936,LOLTMNT01_387927,0,LCK
115548128962971937,LOLTMNT01_387933,0,LCK
115615926677896684,13276-13276_game_1,0,LPL
115615926677896685,13276-13276_game_2,0,LPL
115615926677896686,13276-13276_game_3,0,LPL
115548128963037540,LOLTMNT01_378089,0,LCK
115548128963037541,LOLTMNT01_378106,0,LCK
115615926677896700,13259-13259_game_1,0,LPL
115615926677962237,13259-13259_game_2,0,LPL
115615926677962238,13259-13259_game_3,0,LPL
115548128962971920,LOLTMNT01_378144,0,LCK
115548128962971921,LOLTMNT01_378170,1,LCK
115615926677831072,13260-13260_game_1,0,LPL
115615926677831073,13260-13260_game_2,1,LPL
115548128962971888,LOLTMNT01_378734,0,LCK
115548128962971889,LOLTMNT01_378764,0,LCK
115615924499588654,13261-13261_game_1,1,LPL
115615926685761105,13261-13261_game_2,1,LPL
115615926677896628,13262-13262_game_1,0,LPL
115615926677896629,13262-13262_game_2,0,LPL
115548668059589349,LOLTMNT04_162255,0,LEC
115548668059589350,LOLTMNT04_162268,0,LEC
115548668059523761,LOLTMNT04_161335,0,LEC
115548668059523762,LOLTMNT04_161346,0,LEC
115548128962971932,LOLTMNT01_380497,0,LCK
115548128962971933,LOLTMNT01_380553,0,LCK
115615926677896652,13263-13263_game_1,1,LPL
115615926677896653,13263-13263_game_2,0,LPL
115548128963037516,LOLTMNT01_379647,0,LCK
115548128963037517,LOLTMNT01_380657,0,LCK
115615926677896696,13264-13264_game_1,1,LPL
115615926677896697,13264-13264_game_2,1,LPL
115548668059523773,LOLTMNT04_161451,0,LEC
115548668059523774,LOLTMNT04_162397,1,LEC
115565670260181822,LOLTMNT01_379828,0,CBLOL
115565670260181823,LOLTMNT01_379870,0,CBLOL
115565670260181824,LOLTMNT01_379888,0,CBLOL
115565670260181825,LOLTMNT01_379914,1,CBLOL
115548668059589333,LOLTMNT04_162417,0,LEC
115548668059589334,LOLTMNT04_161471,0,LEC
115548668059589335,LOLTMNT04_161482,1,LEC
115564793879338125,LOLTMNT01_379961,0,LCS
115564793879338126,LOLTMNT01_379978,0,LCS
115564793879403693,LOLTMNT01_380953,0,LCS
115564793879403694,LOLTMNT01_379997,1,LCS
115548128962971900,LOLTMNT01_382057,0,LCK
115548128962971901,LOLTMNT01_382071,0,LCK
115615926677896692,13265-13265_game_1,1,LPL
115615926677896693,13265-13265_game_2,0,LPL
115615926677831068,13266-13266_game_1,0,LPL
115615926677831069,13266-13266_game_2,1,LPL
115615926677831070,13266-13266_game_3,0,LPL
115548668059523769,LOLTMNT04_162485,0,LEC
115548668059523770,LOLTMNT04_162494,1,LEC
115548668059523771,LOLTMNT04_161556,1,LEC
115548668059589337,LOLTMNT04_162542,0,LEC
115548668059589338,LOLTMNT04_161575,1,LEC
115548668059589339,LOLTMNT04_162551,0,LEC
115564793879403677,LOLTMNT01_382416,0,LCS
115564793879403678,LOLTMNT01_382428,0,LCS
115564793879403679,LOLTMNT01_382435,1,LCS
115564793879469282,LOLTMNT01_382451,1,LCS
115615926677896688,13267-13267_game_1,0,LPL
115615926677896689,13267-13267_game_2,0,LPL
115615926677896690,13267-13267_game_3,1,LPL
115615926677962240,13253-13253_game_1,0,LPL
115615926677962241,13253-13253_game_2,1,LPL
115615926677831064,13254-13254_game_1,0,LPL
115615926677831065,13254-13254_game_2,1,LPL
115548668059523661,LOLTMNT04_159184,0,LEC
115548668059523662,LOLTMNT04_160146,1,LEC
115565670260116234,LOLTMNT01_372029,0,CBLOL
115565670260116235,LOLTMNT01_371126,0,CBLOL
115548668059523713,LOLTMNT04_159194,0,LEC
115548668059523714,LOLTMNT04_159202,0,LEC
115548668059523715,LOLTMNT04_160164,1,LEC
115565670260116218,LOLTMNT01_372135,0,CBLOL
115565670260116219,LOLTMNT01_371216,0,CBLOL
115565670260116220,LOLTMNT01_371263,1,CBLOL
115564793879338133,LOLTMNT01_372225,0,LCS
115564793879338134,LOLTMNT01_372247,1,LCS
115564793879338135,LOLTMNT01_372285,0,LCS
115564793879403725,LOLTMNT01_372303,0,LCS
115564793879403726,LOLTMNT01_372312,1,LCS
115548128963037512,LOLTMNT02_395698,0,LCK
115548128963037513,LOLTMNT02_395710,1,LCK
115615926685761103,13255-13255_game_2,0,LPL
115615926685761104,13255-13255_game_3,1,LPL
