game_id,tournament,blue_team,red_team,blue_picks,red_picks,blue_players,red_players,first_to_five,blue_time,red_time,is_ambiguous,first_to_ten,blue_time10,red_time10,ft10_ambiguous,blue_kills10,red_kills10
LOLTMNT02_406958,LCK,BNK FEARX,Hanwha Life Esports,"Galio,Xin Zhao,Ryze,Sivir,Karma","Rumble,Vi,Yone,Miss Fortune,Nautilus","Clear,Raptor,VicLa,Taeyoon,Kellin","Zeus,Kanavi,Zeka,Gumayusi,Bluffing",red,21.828433333333333,17.164916666666667,0,red,24.160116666666667,24.160116666666667,1,0,0
LOLTMNT02_407057,LCK,Hanwha Life Esports,BNK FEARX,"Ambessa,Pantheon,Mel,Ashe,Seraphine","Sion,Trundle,Twisted Fate,Lucian,Milio","Zeus,Kanavi,Zeka,Gumayusi,Bluffing","Clear,Raptor,VicLa,Taeyoon,Kellin",blue,12.33045,20.333283333333334,0,red,,29.826016666666664,0,3,0
LOLTMNT02_413377,LCK,Gen.G,Hanwha Life Esports,"Gnar,Naafiri,Annie,Jhin,Karma","Sion,Jarvan IV,Aurora,Caitlyn,Bard","Kiin,Canyon,Chovy,Ruler,Duro","Zeus,Kanavi,Zeka,Gumayusi,Delight",red,26.66145,26.66145,1,red,36.32266666666667,32.49583333333333,0,1,1
LOLTMNT02_414180,LCK,Gen.G,Hanwha Life Esports,"Yorick,Vi,Ahri,Lucian,Milio","Rumble,Trundle,Ryze,Senna,Alistar","Kiin,Canyon,Chovy,Ruler,Duro","Zeus,Kanavi,Zeka,Gumayusi,Delight",red,11.326316666666665,8.49285,0,red,19.494383333333335,16.996816666666668,0,4,5
LOLTMNT02_413403,LCK,Gen.G,Hanwha Life Esports,"Vayne,Lee Sin,Galio,Sivir,Rakan","Renekton,Pantheon,Orianna,Xayah,Nautilus","Kiin,Canyon,Chovy,Ruler,Duro","Zeus,Kanavi,Zeka,Gumayusi,Delight",blue,11.998183333333333,,0,blue,14.998,,0,4,2
LOLTMNT01_388455,LCK,Hanwha Life Esports,Dplus Kia,"Sion,Lee Sin,Orianna,Caitlyn,Karma","Irelia,Jarvan IV,Zyra,Ashe,Seraphine","Zeus,Kanavi,Zeka,Gumayusi,Delight","Siwoo,Lucid,ShowMaker,Smash,Career",red,14.166566666666666,12.99535,0,red,20.66285,20.66285,1,2,2
LOLTMNT01_387607,LCK,Hanwha Life Esports,Dplus Kia,"Yorick,Xin Zhao,Cassiopeia,Corki,Nami","Jayce,Nocturne,Twisted Fate,Yunara,Lulu","Zeus,Kanavi,Zeka,Gumayusi,Delight","Siwoo,Lucid,ShowMaker,Smash,Career",red,17.665883333333333,15.498916666666666,0,blue,20.832583333333332,,0,2,1
LOLTMNT01_390036,LCK,KT Rolster,Hanwha Life Esports,"Zaahen,Pantheon,Cassiopeia,Sivir,Karma","Sion,Jarvan IV,Azir,Miss Fortune,Nautilus","PerfecT,Cuzz,Bdd,Aiming,Effort","Zeus,Kanavi,Zeka,Gumayusi,Delight",blue,11.825916666666666,12.659216666666667,0,red,18.665233333333333,18.665233333333333,1,3,1
LOLTMNT01_390048,LCK,KT Rolster,Hanwha Life Esports,"K'Sante,Lee Sin,Ryze,Ashe,Seraphine","Jayce,Vi,Taliyah,Ziggs,Pyke","PerfecT,Cuzz,Bdd,Aiming,Effort","Zeus,Kanavi,Zeka,Gumayusi,Delight",red,20.82991666666667,11.996583333333332,0,red,,17.32945,0,2,3
LOLTMNT01_390055,LCK,KT Rolster,Hanwha Life Esports,"Renekton,Skarner,Viktor,Lucian,Nami","Olaf,Nocturne,Aurora,Draven,Milio","PerfecT,Cuzz,Bdd,Aiming,Effort","Zeus,Kanavi,Zeka,Gumayusi,Delight",blue,8.331766666666667,20.83125,0,blue,14.497883333333334,,0,6,1
LOLTMNT02_409510,LCK,Hanwha Life Esports,Nongshim RedForce,"Yorick,Xin Zhao,Akali,Jhin,Bard","Rumble,Wukong,Annie,Lucian,Milio","Zeus,Kanavi,Zeka,Gumayusi,Bluffing","Kingen,Sponge,Scout,Diable,Lehends",red,12.331466666666667,11.162516666666667,0,red,21.998749999999998,18.664649999999998,0,3,3
LOLTMNT02_410580,LCK,Nongshim RedForce,Hanwha Life Esports,"Ambessa,Pantheon,Ahri,Ashe,Nautilus","Sion,Vi,Aurora,Ziggs,Pyke","Kingen,Sponge,Scout,Diable,Lehends","Zeus,Kanavi,Zeka,Gumayusi,Delight",blue,12.330066666666665,14.498933333333333,0,blue,15.4998,20.825116666666666,0,4,2
LOLTMNT02_410667,LCK,Hanwha Life Esports,Nongshim RedForce,"Gnar,Lee Sin,Ryze,Corki,Nami","Renekton,Jarvan IV,Twisted Fate,Yunara,Lulu","Zeus,Kanavi,Zeka,Gumayusi,Delight","Kingen,Sponge,Scout,Diable,Lehends",blue,9.83195,13.99075,0,blue,14.99795,17.331033333333334,0,5,3
LOLTMNT01_378734,LCK,T1,DN SOOPers,"Jayce,Xin Zhao,Ahri,Ashe,Seraphine","K'Sante,Vi,Yone,Ziggs,Camille","Doran,Oner,Faker,Peyz,Keria","DuDu,Pyosik,Clozer,deokdam,Life",blue,16.1595,25.829816666666666,0,blue,20.662733333333332,,0,0,2
LOLTMNT01_378764,LCK,T1,DN SOOPers,"Renekton,Jarvan IV,Orianna,Sivir,Neeko","Gnar,Nocturne,Akali,Jhin,Rakan","Doran,Oner,Faker,Peyz,Keria","DuDu,Pyosik,Clozer,deokdam,Life",blue,10.492966666666666,,0,blue,18.49045,,0,4,0
LOLTMNT02_411297,LCK,T1,HANJIN BRION,"Sion,Naafiri,Twisted Fate,Caitlyn,Lux","Rumble,Lee Sin,Ryze,Jhin,Pyke","Doran,Oner,Faker,Peyz,Keria","Casting,GIDEON,Roamer,Teddy,Namgung",blue,32.49896666666667,37.82096666666666,0,blue,37.16611666666667,,0,1,0
LOLTMNT02_411342,LCK,T1,HANJIN BRION,"Yorick,Xin Zhao,Anivia,Ashe,Seraphine","Jayce,Jarvan IV,Aurora,Lucian,Milio","Doran,Oner,Faker,Peyz,Keria","Casting,GIDEON,Roamer,Teddy,Namgung",red,9.987616666666666,6.162766666666667,0,red,27.99866666666667,14.49615,0,5,9
LOLTMNT01_387874,LCK,Gen.G,T1,"Renekton,Skarner,Rumble,Ezreal,Seraphine","Yorick,Xin Zhao,Twisted Fate,Ashe,Lulu","Kiin,Canyon,Chovy,Ruler,Duro","Doran,Oner,Faker,Peyz,Keria",red,9.830900000000002,9.662783333333334,0,blue,17.663633333333333,,0,8,5
