game_id,tournament,year,blue_team,red_team,blue_picks,red_picks,blue_players,red_players,blue_pc_avg,red_pc_avg,first_to_five,blue_time,red_time
10009-10009_game_1,LPL,2023,Weibo Gaming,Bilibili Gaming,"Jinx,Lee Sin,LeBlanc,Thresh,K'Sante","Zeri,Wukong,Annie,Blitzcrank,Gwen","Light,Karsa,Xiaohu,Crisp,TheShy","Elk,Xun,Yagao,ON,Bin",0.4672,0.6468,blue,20.0,20.0
10009-10009_game_2,LPL,2023,Weibo Gaming,Bilibili Gaming,"Jinx,Maokai,Jayce,Thresh,Kennen","Zeri,Lee Sin,Sylas,Leona,Gnar","Light,Karsa,Xiaohu,Crisp,TheShy","Elk,Xun,Yagao,ON,Bin",0.1731,0.6415,red,20.0,20.0
10009-10009_game_3,LPL,2023,Bilibili Gaming,Weibo Gaming,"Aphelios,Vi,Veigar,Thresh,Kennen","Varus,Viego,Annie,Nautilus,K'Sante","Elk,Xun,Yagao,ON,Bin","Light,Karsa,Xiaohu,Crisp,TheShy",0.633,0.3994,red,20.0,20.0
10010-10010_game_1,LPL,2023,LNG Esports,Oh My God,"Zeri,Sejuani,Taliyah,Nautilus,Jax","Xayah,Wukong,Sylas,Rakan,Sion","LP,Tarzan,Scout,Hang,Zika","Able,Aki,Creme,ppgod,shanji",0.5946,0.5261,blue,20.0,20.0
10010-10010_game_2,LPL,2023,LNG Esports,Oh My God,"Zeri,Wukong,LeBlanc,Annie,Malphite","Xayah,Maokai,Yone,Rakan,K'Sante","LP,Tarzan,Scout,Hang,Zika","Able,Aki,Creme,ppgod,shanji",0.5373,0.5747,red,20.0,20.0
10010-10010_game_3,LPL,2023,LNG Esports,Oh My God,"Zeri,Wukong,Ahri,Lulu,Malphite","Xayah,Sejuani,Yone,Rakan,K'Sante","LP,Tarzan,Scout,Hang,Zika","Able,Aki,Creme,ppgod,shanji",0.4621,0.5607,red,20.0,20.0
10010-10010_game_4,LPL,2023,Oh My God,LNG Esports,"Xayah,Vi,Akali,Renata Glasc,Kennen","Draven,Wukong,Veigar,Rakan,Malphite","Able,Aki,Creme,ppgod,shanji","LP,Tarzan,Scout,Hang,Zika",0.5269,0.377,blue,20.0,20.0
10011-10011_game_1,LPL,2023,JD Gaming,Bilibili Gaming,"Zeri,Viego,Annie,Lulu,Sion","Lucian,Sejuani,Jayce,Nami,Gwen","Ruler,Kanavi,Knight,MISSING,369","Elk,Xun,Yagao,ON,Bin",0.6513,0.6728,blue,20.0,20.0
10011-10011_game_2,LPL,2023,Bilibili Gaming,JD Gaming,"Aphelios,Kindred,Galio,Lulu,Kennen","Lucian,Lee Sin,Annie,Nami,Cho'Gath","Elk,Xun,Yagao,ON,Bin","Ruler,Kanavi,Knight,MISSING,369",0.6786,0.5426,blue,20.0,20.0
10011-10011_game_3,LPL,2023,JD Gaming,Bilibili Gaming,"Varus,Sejuani,Jayce,Tahm Kench,Gragas","Xayah,Wukong,Veigar,Rakan,Jax","Ruler,Kanavi,Knight,MISSING,369","Elk,Xun,Yagao,ON,Bin",0.5917,0.6763,red,20.0,20.0
10011-10011_game_4,LPL,2023,JD Gaming,Bilibili Gaming,"Zeri,Wukong,Ahri,Lulu,Sion","Aphelios,Lee Sin,Veigar,Thresh,Jax","Ruler,Kanavi,Knight,MISSING,369","Elk,Xun,Yagao,ON,Bin",0.6738,0.642,red,20.0,20.0
10011-10011_game_5,LPL,2023,Bilibili Gaming,JD Gaming,"Aphelios,Kindred,Galio,Nautilus,Camille","Jinx,Wukong,Syndra,Leona,Renekton","Elk,Xun,Yagao,ON,Bin","Ruler,Kanavi,Knight,MISSING,369",0.6298,0.7013,blue,20.0,20.0
10012-10012_game_1,LPL,2023,EDward Gaming,Oh My God,"Zeri,Wukong,Annie,Leona,Fiora","Xayah,Lee Sin,Ahri,Rakan,K'Sante","Leave,Jiejie,FoFo,Meiko,Ale","Able,Aki,Creme,ppgod,shanji",0.4698,0.6078,blue,20.0,20.0
10012-10012_game_2,LPL,2023,EDward Gaming,Oh My God,"Aphelios,Viego,Annie,Lulu,Kennen","Zeri,Wukong,Ahri,Rakan,Sion","Leave,Jiejie,FoFo,Meiko,Ale","Able,Aki,Creme,ppgod,shanji",0.4747,0.5431,blue,20.0,20.0
10012-10012_game_3,LPL,2023,Oh My God,EDward Gaming,"Aphelios,Vi,Ahri,Renata Glasc,Sion","Xayah,Sejuani,Veigar,Rakan,Jax","Able,Aki,Creme,ppgod,shanji","Leave,Jiejie,FoFo,Meiko,Ale",0.5215,0.4871,red,20.0,20.0
10012-10012_game_4,LPL,2023,Oh My God,EDward Gaming,"Aphelios,Lee Sin,Akali,Thresh,K'Sante","Zeri,Elise,Jayce,Lulu,Sion","Able,Aki,Creme,ppgod,shanji","Leave,Jiejie,FoFo,Meiko,Ale",0.6101,0.68,blue,20.0,20.0
10013-10013_game_1,LPL,2023,Bilibili Gaming,Oh My God,"Zeri,Wukong,Annie,Rakan,Kennen","Aphelios,Vi,Sylas,Lulu,Malphite","Elk,Xun,Yagao,ON,Bin","Able,Aki,Creme,ppgod,shanji",0.712,0.3931,blue,20.0,20.0
10013-10013_game_2,LPL,2023,Oh My God,Bilibili Gaming,"Aphelios,Maokai,Yone,Thresh,Kennen","Zeri,Wukong,Annie,Leona,Gnar","Able,Aki,Creme,ppgod,shanji","Elk,Xun,Yagao,ON,Bin",0.5961,0.6456,red,20.0,20.0
10013-10013_game_3,LPL,2023,Bilibili Gaming,Oh My God,"Aphelios,Viego,Veigar,Rakan,Jax","Zeri,Wukong,Akali,Annie,K'Sante","Elk,Xun,Yagao,ON,Bin","Able,Aki,Creme,ppgod,shanji",0.691,0.5606,blue,20.0,20.0
10013-10013_game_4,LPL,2023,Oh My God,Bilibili Gaming,"Zeri,Lee Sin,Ahri,Lulu,K'Sante","Aphelios,Wukong,Lissandra,Nautilus,Gwen","Able,Aki,Creme,ppgod,shanji","Elk,Xun,Yagao,ON,Bin",0.542,0.5769,blue,20.0,20.0
10013-10013_game_5,LPL,2023,Bilibili Gaming,Oh My God,"Zeri,Wukong,Annie,Blitzcrank,Jax","Aphelios,Maokai,Yone,Lulu,K'Sante","Elk,Xun,Yagao,ON,Bin","Able,Aki,Creme,ppgod,shanji",0.6521,0.5189,red,20.0,20.0
10014-10014_game_1,LPL,2023,EDward Gaming,JD Gaming,"Xayah,Vi,Veigar,Lulu,Jax","Aphelios,Wukong,Ahri,Rakan,Sion","Leave,Jiejie,FoFo,Meiko,Ale","Ruler,Kanavi,Knight,MISSING,369",0.4934,0.7568,blue,20.0,20.0
10014-10014_game_2,LPL,2023,EDward Gaming,JD Gaming,"Lucian,Viego,Veigar,Nami,Jax","Xayah,Wukong,Syndra,Rakan,Sion","Leave,Jiejie,FoFo,Meiko,Ale","Ruler,Kanavi,Knight,MISSING,369",0.4846,0.7902,red,20.0,20.0
10014-10014_game_3,LPL,2023,EDward Gaming,JD Gaming,"Xayah,Vi,Akali,Blitzcrank,Sion","Aphelios,Wukong,Ahri,Renata Glasc,K'Sante","Leave,Jiejie,FoFo,Meiko,Ale","Ruler,Kanavi,Knight,MISSING,369",0.4474,0.7386,red,20.0,20.0
10015-10015_game_1,LPL,2023,EDward Gaming,Bilibili Gaming,"Aphelios,Wukong,LeBlanc,Rakan,Gragas","Xayah,Kindred,Annie,Nautilus,Jax","Leave,Jiejie,FoFo,Meiko,Ale","Elk,Xun,Yagao,ON,Bin",0.4767,0.6875,red,20.0,20.0
