game_id,tournament,year,blue_team,red_team,blue_picks,red_picks,blue_players,red_players,first_to_five,blue_time,red_time,is_ambiguous,blue_kills10,red_kills10,blue_golddiff10,red_golddiff10,blue_fb,red_fb,blue_ckpm,red_ckpm
LOLTMNT02_71450,LCK,2024,Dplus Kia,T1,"K'Sante,Viego,Veigar,Zeri,Nautilus","Vayne,Xin Zhao,Azir,Senna,Sejuani","Kingen,Lucid,ShowMaker,Aiming,Kellin","Zeus,Oner,Faker,Gumayusi,Keria",blue,15.3324,18.3311,0,2,3,,,,,0.4809,0.3006
LOLTMNT02_71456,LCK,2024,Dplus Kia,T1,"Rumble,Lee Sin,Ahri,Kalista,Rell","Twisted Fate,Poppy,Azir,Ashe,Renata Glasc","Kingen,Lucid,ShowMaker,Aiming,Kellin","Zeus,Oner,Faker,Gumayusi,Keria",red,24.825,15.3286,0,1,2,,,,,0.4989,0.3603
10952-10952_game_1,LPL,2024,Top Esports,JD Gaming,"Renekton,Viego,Ahri,Varus,Nautilus","Jayce,Lee Sin,Neeko,Zeri,Rell","369,Tian,Creme,JackeyLove,Meiko","Flandre,Kanavi,Yagao,Ruler,MISSING",blue,23.3257,30.8283,0,3,3,,,,,0.4952,0.2606
10952-10952_game_2,LPL,2024,JD Gaming,Top Esports,"Rek'Sai,Wukong,Annie,Zeri,Rell","Aatrox,Vi,Ahri,Varus,Alistar","Flandre,Kanavi,Yagao,Ruler,MISSING","369,Tian,Creme,JackeyLove,Meiko",blue,29.6643,31.8313,0,0,0,,,,,0.4175,0.2349
10952-10952_game_3,LPL,2024,JD Gaming,Top Esports,"Rek'Sai,Wukong,Annie,Zeri,Rell","Ornn,Vi,Ahri,Varus,Rumble","Flandre,Kanavi,Yagao,Ruler,MISSING","369,Tian,Creme,JackeyLove,Meiko",blue,19.6632,19.8326,0,4,2,,,,,0.6878,0.2646
LOLTMNT05_28757,LEC,2024,G2 Esports,Team BDS,"Sion,Rell,Aurelion Sol,Jinx,Lulu","Aatrox,Volibear,Azir,Varus,Ashe","BrokenBlade,Yike,Caps,Hans Sama,Mikyx","Adam,Sheo,nuc,Ice,Labrov",red,15.8288,13.33,0,1,4,,,,,0.4746,0.2998
LOLTMNT05_27749,LEC,2024,Team BDS,G2 Esports,"Gragas,Volibear,Azir,Lucian,Nami","K'Sante,Jax,Taliyah,Jinx,Nautilus","Adam,Sheo,nuc,Ice,Labrov","BrokenBlade,Yike,Caps,Hans Sama,Mikyx",red,12.9994,10.832,0,1,4,,,,,0.3351,0.6701
LOLTMNT02_70552,CBLOL,2024,LOUD,paiN Gaming,"Jax,Xin Zhao,Karma,Lucian,Nami","K'Sante,Poppy,Azir,Varus,Ashe","Robo,Croc,tinowns,Route,RedBert","Wizer,CarioK,dyNquedo,TitaN,Kuri",red,27.3256,16.9964,0,1,2,,,,,0.2865,0.1984
LOLTMNT05_27750,LEC,2024,G2 Esports,Team BDS,"Zac,Rell,Aurelion Sol,Jinx,Lulu","Aatrox,Volibear,Azir,Varus,Ashe","BrokenBlade,Yike,Caps,Hans Sama,Mikyx","Adam,Sheo,nuc,Ice,Labrov",blue,8.9932,30.0,0,6,1,,,,,1.1075,0.1384
LOLTMNT02_71562,CBLOL,2024,LOUD,paiN Gaming,"Renekton,Maokai,Aurelion Sol,Kai'Sa,Leona","Olaf,Vi,Ahri,Zeri,Alistar","Robo,Croc,tinowns,Route,RedBert","Wizer,CarioK,dyNquedo,TitaN,Kuri",red,19.8304,16.4969,0,1,1,,,,,0.3774,0.7278
