game_id,date,year,league,blue_team,red_team,blue_win,blue_picks,red_picks,blue_players,red_players
LOLTMNT02_239708,2025-03-31,2025,LCKC,KT Rolster Challengers,T1 Esports Academy,1,"Renekton,Lillia,Jayce,Tristana,Alistar","K'Sante,Viego,Orianna,Ezreal,Leona","Casting,YoungJae,Zinie,Paduck,Way","Haetae,Vincenzo,Poby,Cypher,Cloud"
LOLTMNT02_239723,2025-03-31,2025,LCKC,Nongshim Esports Academy,HANJIN BRION Challengers,0,"Rumble,Skarner,Azir,Jhin,Leona","Sion,Nidalee,Tristana,Varus,Pantheon","Kangin,Sylvie,Calix,vital,Crack","Lonely,HamBak,Starlit,Bull,Kice"
LOLTMNT02_239735,2025-03-31,2025,LCKC,HANJIN BRION Challengers,Nongshim Esports Academy,0,"Renekton,Vi,Ahri,Sivir,Maokai","K'Sante,Xin Zhao,Sylas,Ezreal,Rakan","Lonely,HamBak,Starlit,Bull,Kice","Kangin,Sylvie,Calix,vital,Crack"
LOLTMNT02_240695,2025-03-31,2025,LCKC,T1 Esports Academy,KT Rolster Challengers,0,"Ambessa,Sejuani,Azir,Xayah,Rakan","Rumble,Skarner,Viktor,Kai'Sa,Nautilus","Haetae,Vincenzo,Poby,Cypher,Cloud","Casting,YoungJae,Zinie,Paduck,Way"
LOLTMNT02_240743,2025-03-31,2025,LCKC,Nongshim Esports Academy,HANJIN BRION Challengers,1,"Jayce,Sejuani,Yone,Kai'Sa,Rell","Gragas,Lillia,Ambessa,Miss Fortune,Alistar","Kangin,Sylvie,Calix,vital,Crack","Lonely,HamBak,Starlit,Bull,Kice"
LOLTMNT02_240757,2025-03-31,2025,LCKC,DRX Challengers,Hanwha Life Esports Challengers,1,"Jayce,Maokai,Aurora,Ezreal,Alistar","Rumble,Sejuani,Yone,Ashe,Braum","Frog,Juhan,kyeahoo,LazyFeel,Pleata","Rooster,Grizzly,Tempester,Pyeonsik,Bluffing"
LOLTMNT02_240793,2025-03-31,2025,LCKC,Hanwha Life Esports Challengers,DRX Challengers,0,"Ambessa,Viego,Taliyah,Varus,Nautilus","Aatrox,Zyra,Corki,Kai'Sa,Rell","Rooster,Grizzly,Tempester,Pyeonsik,Bluffing","Frog,Juhan,kyeahoo,LazyFeel,Pleata"
LOLTMNT02_241146,2025-04-01,2025,LCKC,Gen.G Global Academy,BNK FEARX Youth,0,"Rumble,Xin Zhao,Ryze,Jhin,Leona","Gwen,Naafiri,Taliyah,Xayah,Rakan","Hanbyeol,Winner,Kemish,About,Namgung","Soboro,Willer,Daystar,Envyy,Career"
LOLTMNT02_241153,2025-04-01,2025,LCKC,Gen.G Global Academy,BNK FEARX Youth,1,"Sion,Nidalee,Ahri,Varus,Karma","Renekton,Lillia,Corki,Ezreal,Rell","Hanbyeol,Winner,Kemish,About,Namgung","Soboro,Willer,Daystar,Envyy,Career"
LOLTMNT02_241157,2025-04-01,2025,LCKC,BNK FEARX Youth,Gen.G Global Academy,0,"Aatrox,Skarner,Akali,Zeri,Poppy","Ambessa,Sejuani,Galio,Sivir,Neeko","Soboro,Willer,Daystar,Envyy,Career","Hanbyeol,Winner,Kemish,About,Namgung"
LOLTMNT02_241229,2025-04-01,2025,LCKC,DN SOOPers Challengers,Dplus Kia Challengers,1,"K'Sante,Xin Zhao,Orianna,Kai'Sa,Nautilus","Renekton,Naafiri,Ahri,Zeri,Rakan","Lancer,DDoiV,Pungyeon,Slayer,Minous","Jaehyuk,Sharvel,Garden,Wayne,Berr"
LOLTMNT02_242159,2025-04-01,2025,LCKC,Dplus Kia Challengers,DN SOOPers Challengers,0,"Rumble,Maokai,Corki,Jinx,Alistar","Ambessa,Skarner,Azir,Caitlyn,Braum","Jaehyuk,Sharvel,Garden,Wayne,Berr","Lancer,DDoiV,Pungyeon,Slayer,Minous"
LOLTMNT02_242181,2025-04-01,2025,LCKC,Dplus Kia Challengers,DN SOOPers Challengers,1,"Aatrox,Sejuani,Yone,Miss Fortune,Rell","Gnar,Lee Sin,Aurora,Ezreal,Leona","Jaehyuk,Sharvel,Garden,Wayne,Berr","Lancer,DDoiV,Pungyeon,Slayer,Minous"
LOLTMNT05_121483,2025-04-01,2025,PRM,Berlin International Gaming,Austrian Force willhaben,1,"Gwen,Lillia,Smolder,Varus,Rell","Ambessa,Naafiri,Azir,Corki,Leona","Shelfmade,Leb,Dajor,BEAN,LIMIT","NightSlayer,D4nKa,Nan0,Vaynedeta,HungryPanda"
LOLTMNT05_121487,2025-04-01,2025,PRM,Austrian Force willhaben,Berlin International Gaming,1,"Malphite,Maokai,Yone,Ezreal,Fiddlesticks","K'Sante,Zyra,Jayce,Jhin,Alistar","NightSlayer,D4nKa,Nan0,Vaynedeta,HungryPanda","Shelfmade,Leb,Dajor,BEAN,LIMIT"
LOLTMNT05_121491,2025-04-01,2025,PRM,Berlin International Gaming,Austrian Force willhaben,0,"Gnar,Xin Zhao,Ahri,Kai'Sa,Nautilus","Jax,Jarvan IV,Taliyah,Sivir,Lulu","Shelfmade,Leb,Dajor,BEAN,LIMIT","NightSlayer,D4nKa,Nan0,Vaynedeta,HungryPanda"
LOLTMNT05_121495,2025-04-01,2025,PRM,E WIE EINFACH E-SPORTS,Eintracht Frankfurt,1,"Shen,Zed,Viktor,Caitlyn,Fiddlesticks","Jayce,Jarvan IV,Taliyah,Ashe,Braum","Rocklho,Afroboi,Relative,Noz2k,Tockimo","Sacre,Techoteco,ZaZee,Varry,Veignorem"
