game_id,tournament,year,blue_team,red_team,blue_picks,red_picks,blue_players,red_players,first_to_five,blue_time,red_time,is_ambiguous,blue_kills10,red_kills10,blue_kills15,red_kills15,blue_kills20,red_kills20,blue_kills25,red_kills25,blue_golddiff10,red_golddiff10,blue_fb,blue_ckpm,red_ckpm
LOLTMNT01_227280,LCKC,2025,Nongshim Esports Academy,Dplus Kia Challengers,"Sion,Poppy,Zoe,Miss Fortune,Leona","K'Sante,Naafiri,Ahri,Ashe,Neeko","Kangin,Sylvie,Fisher,vital,Crack","Jaehyuk,Sharvel,Garden,Wayne,Berr",blue,20.0,30.0,0,0.0,0.0,1.0,1.0,5.0,3.0,10.0,3.0,292.0,-292.0,0.0,0.8882,0.8882
LOLTMNT01_227337,LCKC,2025,HANJIN BRION Challengers,DN SOOPers Challengers,"Sion,Wukong,Azir,Xayah,Rakan","Aatrox,Xin Zhao,Taliyah,Varus,Rell","Levy,Ellim,Starlit,Bull,Kice","Lancer,DDoiV,Pungyeon,Slayer,Quantum",blue,25.0,25.0,1,1.0,1.0,3.0,2.0,4.0,3.0,6.0,11.0,-970.0,970.0,1.0,0.8717,0.8717
LOLTMNT01_227365,LCKC,2025,DN SOOPers Challengers,HANJIN BRION Challengers,"Renekton,Lillia,Aurora,Ezreal,Alistar","Ornn,Naafiri,Ahri,Zeri,Lulu","Lancer,DDoiV,Pungyeon,Slayer,Quantum","Levy,Ellim,Starlit,Bull,Kice",blue,10.0,30.0,0,7.0,1.0,12.0,1.0,17.0,3.0,28.0,7.0,2947.0,-2947.0,1.0,1.4056,1.4056
LOLTMNT01_227780,LCKC,2025,DRX Challengers,KT Rolster Challengers,"Rumble,Sejuani,Yone,Xayah,Renata Glasc","Ambessa,Nocturne,Ahri,Lucian,Leona","Frog,Juhan,kyeahoo,LazyFeel,Andil","PerfecT,YoungJae,Zinie,Paduck,Way",red,30.0,15.0,0,2.0,3.0,4.0,5.0,9.0,6.0,9.0,7.0,384.0,-384.0,0.0,1.0619,1.0619
LOLTMNT01_227817,LCKC,2025,T1 Esports Academy,Gen.G Global Academy,"Gnar,Xin Zhao,Azir,Ezreal,Rakan","Jax,Naafiri,Sylas,Kai'Sa,Neeko","Haetae,Vincenzo,Poby,Cypher,Cloud","Hanbyeol,Winner,Kemish,About,Namgung",blue,25.0,30.0,0,0.0,1.0,0.0,1.0,1.0,2.0,8.0,3.0,-335.0,335.0,0.0,0.6474,0.6474
LOLTMNT01_228219,LCKC,2025,KT Rolster Challengers,DRX Challengers,"Jayce,Maokai,Viktor,Ezreal,Nautilus","Sion,Xin Zhao,Azir,Kai'Sa,Rell","PerfecT,YoungJae,Zinie,Paduck,Way","Frog,Juhan,kyeahoo,LazyFeel,Andil",red,30.0,10.0,0,3.0,5.0,3.0,8.0,8.0,13.0,11.0,13.0,8.0,-8.0,0.0,1.1687,1.1687
LOLTMNT01_228289,LCKC,2025,Gen.G Global Academy,T1 Esports Academy,"Rumble,Viego,Taliyah,Miss Fortune,Nautilus","Jayce,Sejuani,Orianna,Jhin,Alistar","Hanbyeol,Winner,Kemish,About,Namgung","Haetae,Vincenzo,Poby,Cypher,Cloud",red,30.0,10.0,0,2.0,5.0,3.0,6.0,5.0,6.0,5.0,9.0,-967.0,967.0,1.0,1.2035,1.2035
LOLTMNT01_229839,LCKC,2025,BNK FEARX Youth,T1 Esports Academy,"K'Sante,Poppy,Azir,Ezreal,Leona","Gnar,Xin Zhao,Taliyah,Kai'Sa,Rakan","Soboro,Willer,Daystar,Envyy,Career","Haetae,Vincenzo,Poby,Cypher,Cloud",red,30.0,20.0,0,1.0,2.0,1.0,4.0,3.0,6.0,3.0,10.0,-1240.0,1240.0,1.0,0.6427,0.6427
LOLTMNT01_229860,LCKC,2025,Nongshim Esports Academy,DN SOOPers Challengers,"Sion,Naafiri,Aurora,Sivir,Nautilus","Renekton,Lillia,Corki,Ezreal,Rell","Kangin,Sylvie,Fisher,vital,Crack","Lancer,DDoiV,BuLLDoG,Slayer,Quantum",blue,15.0,15.0,1,3.0,3.0,6.0,5.0,11.0,7.0,16.0,8.0,-241.0,241.0,1.0,1.2463,1.2463
LOLTMNT01_229864,LCKC,2025,KT Rolster Challengers,Dplus Kia Challengers,"Gwen,Viego,Ahri,Lucian,Braum","Rumble,Naafiri,Sylas,Corki,Leona","PerfecT,YoungJae,Zinie,Paduck,Way","Jaehyuk,Sharvel,Garden,Wayne,Berr",blue,15.0,15.0,1,2.0,4.0,6.0,10.0,10.0,10.0,19.0,12.0,420.0,-420.0,1.0,1.3472,1.3472
LOLTMNT01_229876,LCKC,2025,DN SOOPers Challengers,Nongshim Esports Academy,"Gwen,Wukong,Orianna,Zeri,Lulu","Ambessa,Skarner,Viktor,Xayah,Rakan","Lancer,DDoiV,BuLLDoG,Slayer,Quantum","Kangin,Sylvie,Fisher,vital,Crack",red,30.0,20.0,0,0.0,2.0,3.0,3.0,3.0,6.0,5.0,11.0,-626.0,626.0,0.0,0.9139,0.9139
LOLTMNT01_229881,LCKC,2025,T1 Esports Academy,BNK FEARX Youth,"Ornn,Viego,Orianna,Varus,Braum","Renekton,Lee Sin,Akali,Jhin,Alistar","Haetae,Vincenzo,Poby,Cypher,Cloud","Soboro,Willer,Daystar,Envyy,Career",red,25.0,25.0,1,0.0,2.0,1.0,2.0,4.0,4.0,8.0,7.0,-1550.0,1550.0,0.0,0.6977,0.6977
LOLTMNT01_230286,LCKC,2025,KT Rolster Challengers,Dplus Kia Challengers,"Jayce,Maokai,Viktor,Ezreal,Nautilus","Sion,Xin Zhao,Azir,Kai'Sa,Rell","PerfecT,YoungJae,Zinie,Paduck,Way","Jaehyuk,Sharvel,Garden,Wayne,Berr",blue,15.0,15.0,1,3.0,4.0,10.0,8.0,15.0,9.0,22.0,17.0,-149.0,149.0,1.0,1.4337,1.4337
LOLTMNT01_230288,LCKC,2025,DN SOOPers Challengers,Nongshim Esports Academy,"Rumble,Sejuani,Yone,Miss Fortune,Alistar","Galio,Xin Zhao,Azir,Varus,Leona","Lancer,DDoiV,BuLLDoG,Slayer,Quantum","Kangin,Sylvie,Fisher,vital,Crack",red,20.0,20.0,1,1.0,1.0,3.0,3.0,8.0,6.0,14.0,6.0,146.0,-146.0,0.0,0.9824,0.9824
LOLTMNT01_230317,LCKC,2025,BNK FEARX Youth,T1 Esports Academy,"Rumble,Wukong,Ahri,Ashe,Rell","Ryze,Naafiri,Viktor,Miss Fortune,Nautilus","Soboro,Willer,Daystar,Envyy,Career","Haetae,Vincenzo,Poby,Cypher,Cloud",blue,15.0,30.0,0,4.0,2.0,7.0,3.0,10.0,4.0,12.0,4.0,813.0,-813.0,1.0,0.9597,0.9597
LOLTMNT01_230343,LCKC,2025,Dplus Kia Challengers,KT Rolster Challengers,"Ornn,Lillia,Yone,Miss Fortune,Rakan","Renekton,Zyra,Mel,Ashe,Poppy","Jaehyuk,Sharvel,Garden,Wayne,Berr","PerfecT,YoungJae,Zinie,Paduck,Way",red,30.0,15.0,0,1.0,2.0,2.0,6.0,2.0,6.0,2.0,14.0,-1702.0,1702.0,0.0,0.8129,0.8129
LOLTMNT01_230999,LCKC,2025,Gen.G Global Academy,Hanwha Life Esports Challengers,"Ambessa,Lillia,Corki,Jinx,Tahm Kench","Renekton,Naafiri,Orianna,Ashe,Braum","Hanbyeol,Winner,Kemish,About,Namgung","Rooster,Grizzly,Tempester,Pyeonsik,Bluffing",red,30.0,15.0,0,1.0,4.0,2.0,8.0,6.0,14.0,7.0,18.0,-2432.0,2432.0,0.0,1.0619,1.0619
